scenario,policy,start,success,evac_time,fed,incapacitated,timed_out,smoke_time,fire_time,wait_time,path_length,n_reroutes,plan_ms,n_plans
0,shortest_path,N2_7,0,,1.0,1,0,41.09,6.0,0.0,36.0,0,1.511,3
0,static_risk,N2_7,1,56.378464090057996,0.6848,0,0,56.38,0.0,0.0,48.0,0,4.37,4
0,dynamic_risk,N2_7,1,56.359119455302,0.6846,0,0,56.36,0.0,0.0,48.0,0,10.013,4
0,dynamic_perfect_perception,N2_7,1,56.359020425610076,0.6846,0,0,56.36,0.0,0.0,48.0,0,8.294,4
0,oracle,N2_7,1,56.359020425610076,0.6846,0,0,56.36,0.0,0.0,48.0,0,0.0,0
1,shortest_path,N1_1,1,17.910456568601248,0.0,0,0,0.0,0.0,0.0,24.0,0,0.434,2
1,static_risk,N1_1,1,17.910456568601248,0.0,0,0,0.0,0.0,0.0,24.0,0,2.392,2
1,dynamic_risk,N1_1,1,17.910456568601248,0.0,0,0,0.0,0.0,0.0,24.0,0,3.928,2
1,dynamic_perfect_perception,N1_1,1,17.910456568601248,0.0,0,0,0.0,0.0,0.0,24.0,0,3.361,2
1,oracle,N1_1,1,17.910456568601248,0.0,0,0,0.0,0.0,0.0,24.0,0,0.0,0
2,shortest_path,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,0.168,1
2,static_risk,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,2.298,1
2,dynamic_risk,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,1.91,1
2,dynamic_perfect_perception,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,1.802,1
2,oracle,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,0.0,0
3,shortest_path,N1_8,1,21.74928145550118,0.1279,0,0,14.75,0.0,0.0,24.0,0,0.625,2
3,static_risk,N1_8,1,21.74928145550118,0.1279,0,0,14.75,0.0,0.0,24.0,0,2.651,2
3,dynamic_risk,N1_8,1,21.74928145550118,0.1279,0,0,14.75,0.0,0.0,24.0,0,3.812,2
3,dynamic_perfect_perception,N1_8,1,21.747062772696964,0.1279,0,0,14.75,0.0,0.0,24.0,0,3.671,2
3,oracle,N1_8,1,21.747062772696964,0.1279,0,0,14.75,0.0,0.0,24.0,0,0.0,0
4,shortest_path,N1_8,1,17.988531561044123,0.0026,0,0,0.0,0.0,0.0,24.0,0,0.409,2
4,static_risk,N1_8,1,17.988188838792997,0.0026,0,0,0.0,0.0,0.0,24.0,0,2.244,2
4,dynamic_risk,N1_8,1,17.988188838792997,0.0026,0,0,0.0,0.0,0.0,24.0,0,3.829,2
4,dynamic_perfect_perception,N1_8,1,17.988188838792997,0.0026,0,0,0.0,0.0,0.0,24.0,0,3.442,2
4,oracle,N1_8,1,17.988188838792997,0.0026,0,0,0.0,0.0,0.0,24.0,0,0.0,0
5,shortest_path,N4_2,1,26.8724094951952,0.0,0,0,0.0,0.0,0.0,36.0,0,0.641,3
5,static_risk,N4_2,1,34.4034053304286,0.2513,0,0,22.82,0.0,0.0,36.0,0,2.301,3
5,dynamic_risk,N4_2,1,34.4034053304286,0.2513,0,0,22.82,0.0,0.0,36.0,0,6.962,3
5,dynamic_perfect_perception,N4_2,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,5.023,3
5,oracle,N4_2,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,0.0,0
6,shortest_path,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,0.253,1
6,static_risk,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,2.181,1
6,dynamic_risk,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,1.727,1
6,dynamic_perfect_perception,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,1.599,1
6,oracle,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,0.0,0
7,shortest_path,N2_3,1,43.50671653169129,0.2561,0,0,23.55,0.0,0.0,48.0,0,0.702,4
7,static_risk,N2_3,1,36.051348365497006,0.0076,0,0,0.0,0.0,0.0,48.0,0,2.248,4
7,dynamic_risk,N2_3,1,35.823013701434775,0.0,0,0,0.0,0.0,0.0,48.0,1,7.379,4
7,dynamic_perfect_perception,N2_3,1,35.82089552238806,0.0,0,0,0.0,0.0,0.0,48.0,0,7.054,4
7,oracle,N2_3,1,35.82089552238806,0.0,0,0,0.0,0.0,0.0,48.0,0,0.0,0
8,shortest_path,N1_7,1,26.887542706270676,0.0,0,0,0.0,0.0,0.0,36.0,0,0.569,3
8,static_risk,N1_7,1,26.866108625062694,0.0,0,0,0.0,0.0,0.0,36.0,0,2.499,3
8,dynamic_risk,N1_7,1,26.866108625062694,0.0,0,0,0.0,0.0,0.0,36.0,0,5.507,3
8,dynamic_perfect_perception,N1_7,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,5.983,3
8,oracle,N1_7,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,0.0,0
9,shortest_path,N3_2,0,,1.0,1,0,41.45,5.0,0.0,48.0,0,0.867,4
9,static_risk,N3_2,1,44.86390900710195,0.3014,0,0,26.95,0.0,0.0,48.0,0,2.365,4
9,dynamic_risk,N3_2,1,36.053533506088044,0.0078,0,0,0.0,0.0,0.0,48.0,0,7.645,4
9,dynamic_perfect_perception,N3_2,1,36.053533506088044,0.0078,0,0,0.0,0.0,0.0,48.0,0,7.309,4
9,oracle,N3_2,1,44.7764947248109,0.0,0,0,0.0,0.0,0.0,60.0,0,0.0,0
10,shortest_path,N3_9,1,17.910447761221505,0.0,0,0,0.0,0.0,0.0,24.0,0,0.451,2
10,static_risk,N3_9,1,17.910447761221505,0.0,0,0,0.0,0.0,0.0,24.0,0,2.485,2
10,dynamic_risk,N3_9,1,17.910447761221505,0.0,0,0,0.0,0.0,0.0,24.0,0,4.381,2
10,dynamic_perfect_perception,N3_9,1,17.910447761221505,0.0,0,0,0.0,0.0,0.0,24.0,0,3.856,2
10,oracle,N3_9,1,17.910447761221505,0.0,0,0,0.0,0.0,0.0,24.0,0,0.0,0
11,shortest_path,N3_1,1,27.35274640283314,0.0162,0,0,0.0,0.0,0.0,36.0,0,0.664,3
11,static_risk,N3_1,1,27.32223108801458,0.0152,0,0,0.0,0.0,0.0,36.0,0,2.439,3
11,dynamic_risk,N3_1,1,27.32223108801458,0.0152,0,0,0.0,0.0,0.0,36.0,0,5.96,3
11,dynamic_perfect_perception,N3_1,1,27.32223108801458,0.0152,0,0,0.0,0.0,0.0,36.0,0,5.535,3
11,oracle,N3_1,1,35.820949657716604,0.0,0,0,0.0,0.0,0.0,48.0,0,0.0,0
12,shortest_path,N3_3,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,0.632,3
12,static_risk,N3_3,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,2.478,3
12,dynamic_risk,N3_3,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,5.781,3
12,dynamic_perfect_perception,N3_3,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,5.195,3
12,oracle,N3_3,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,0.0,0
13,shortest_path,N1_9,1,10.371116696103893,0.0472,0,0,3.37,0.0,0.0,12.0,0,0.238,1
13,static_risk,N1_9,1,10.371116696103893,0.0472,0,0,3.37,0.0,0.0,12.0,0,2.421,1
