scenario,policy,start,success,evac_time,fed,incapacitated,timed_out,smoke_time,fire_time,wait_time,path_length,n_reroutes,plan_ms,n_plans
0,shortest_path,N2_7,0,,1.0,1,0,41.09,6.0,0.0,36.0,0,0.623,3
0,static_risk,N2_7,1,56.359020425610076,0.6846,0,0,56.36,0.0,0.0,48.0,0,3.023,4
0,dynamic_risk,N2_7,1,56.378464090057996,0.6848,0,0,56.38,0.0,0.0,48.0,0,7.392,4
0,dynamic_perfect_perception,N2_7,1,56.359020425610076,0.6846,0,0,56.36,0.0,0.0,48.0,0,8.164,4
0,oracle,N2_7,1,56.359020425610076,0.6846,0,0,56.36,0.0,0.0,48.0,0,0.0,0
1,shortest_path,N1_1,1,17.910456568601248,0.0,0,0,0.0,0.0,0.0,24.0,0,0.517,2
1,static_risk,N1_1,1,17.916755228024105,0.0,0,0,0.0,0.0,0.0,24.0,0,2.353,2
1,dynamic_risk,N1_1,1,17.916755228024105,0.0,0,0,0.0,0.0,0.0,24.0,0,3.553,2
1,dynamic_perfect_perception,N1_1,1,17.910456568601248,0.0,0,0,0.0,0.0,0.0,24.0,0,3.597,2
1,oracle,N1_1,1,17.910456568601248,0.0,0,0,0.0,0.0,0.0,24.0,0,0.0,0
2,shortest_path,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,0.167,1
2,static_risk,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,2.405,1
2,dynamic_risk,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,1.834,1
2,dynamic_perfect_perception,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,2.044,1
2,oracle,N0_4,1,14.055115323918677,0.1755,0,0,14.06,0.06,0.0,12.0,0,0.0,0
3,shortest_path,N1_8,1,21.74928145550118,0.1279,0,0,14.75,0.0,0.0,24.0,0,0.418,2
3,static_risk,N1_8,1,21.747062772696964,0.1279,0,0,14.75,0.0,0.0,24.0,0,2.542,2
3,dynamic_risk,N1_8,1,21.747062772696964,0.1279,0,0,14.75,0.0,0.0,24.0,0,3.76,2
3,dynamic_perfect_perception,N1_8,1,21.747062772696964,0.1279,0,0,14.75,0.0,0.0,24.0,0,3.52,2
3,oracle,N1_8,1,21.747062772696964,0.1279,0,0,14.75,0.0,0.0,24.0,0,0.0,0
4,shortest_path,N1_8,1,17.988531561044123,0.0026,0,0,0.0,0.0,0.0,24.0,0,0.416,2
4,static_risk,N1_8,1,17.988188838792997,0.0026,0,0,0.0,0.0,0.0,24.0,0,2.327,2
4,dynamic_risk,N1_8,1,17.988188838792997,0.0026,0,0,0.0,0.0,0.0,24.0,0,3.701,2
4,dynamic_perfect_perception,N1_8,1,17.988188838792997,0.0026,0,0,0.0,0.0,0.0,24.0,0,3.624,2
4,oracle,N1_8,1,17.988188838792997,0.0026,0,0,0.0,0.0,0.0,24.0,0,0.0,0
5,shortest_path,N4_2,1,26.8724094951952,0.0,0,0,0.0,0.0,0.0,36.0,0,0.65,3
5,static_risk,N4_2,1,26.865698736162976,0.0,0,0,0.0,0.0,0.0,36.0,0,2.353,3
5,dynamic_risk,N4_2,1,26.865698736162976,0.0,0,0,0.0,0.0,0.0,36.0,0,5.936,3
5,dynamic_perfect_perception,N4_2,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,5.381,3
5,oracle,N4_2,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,0.0,0
6,shortest_path,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,0.164,1
6,static_risk,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,2.307,1
6,dynamic_risk,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,1.726,1
6,dynamic_perfect_perception,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,1.621,1
6,oracle,N5_5,1,8.955646239364588,0.0,0,0,0.0,0.0,0.0,12.0,0,0.0,0
7,shortest_path,N2_3,1,43.50671653169129,0.2561,0,0,23.55,0.0,0.0,48.0,0,0.71,4
7,static_risk,N2_3,1,35.83722882183274,0.0,0,0,0.0,0.0,0.0,48.0,0,2.233,4
7,dynamic_risk,N2_3,1,35.83722882183274,0.0,0,0,0.0,0.0,0.0,48.0,0,7.171,4
7,dynamic_perfect_perception,N2_3,1,35.82089552238806,0.0,0,0,0.0,0.0,0.0,48.0,0,6.653,4
7,oracle,N2_3,1,35.82089552238806,0.0,0,0,0.0,0.0,0.0,48.0,0,0.0,0
8,shortest_path,N1_7,1,26.887542706270676,0.0,0,0,0.0,0.0,0.0,36.0,0,0.569,3
8,static_risk,N1_7,1,26.887542706270676,0.0,0,0,0.0,0.0,0.0,36.0,0,2.838,3
8,dynamic_risk,N1_7,1,26.866108625062694,0.0,0,0,0.0,0.0,0.0,36.0,0,5.334,3
8,dynamic_perfect_perception,N1_7,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,5.178,3
8,oracle,N1_7,1,26.865671641791042,0.0,0,0,0.0,0.0,0.0,36.0,0,0.0,0
9,shortest_path,N3_2,0,,1.0,1,0,41.45,5.0,0.0,48.0,0,0.833,4
9,static_risk,N3_2,1,46.32620303882254,0.3501,0,0,28.35,0.0,0.0,48.0,0,2.299,4
9,dynamic_risk,N3_2,1,46.32620303882254,0.3501,0,0,28.35,0.0,0.0,48.0,0,7.361,4
9,dynamic_perfect_perception,N3_2,1,36.053533506088044,0.0078,0,0,0.0,0.0,0.0,48.0,0,7.163,4
9,oracle,N3_2,1,44.7764947248109,0.0,0,0,0.0,0.0,0.0,60.0,0,0.0,0
10,shortest_path,N3_9,1,17.910447761221505,0.0,0,0,0.0,0.0,0.0,24.0,0,0.453,2
10,static_risk,N3_9,1,17.910447761221505,0.0,0,0,0.0,0.0,0.0,24.0,0,2.249,2
10,dynamic_risk,N3_9,1,17.910447761221505,0.0,0,0,0.0,0.0,0.0,24.0,0,3.593,2
10,dynamic_perfect_perception,N3_9,1,17.910447761221505,0.0,0,0,0.0,0.0,0.0,24.0,0,7.757,2
10,oracle,N3_9,1,17.910447761221505,0.0,0,0,0.0,0.0,0.0,24.0,0,0.0,0
